Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957780680-65ro9z7mg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-fewtsnd7y","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-xndy926e0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-xs4jqi3np","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-w01u6ll07","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-fdu625ik9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-49bbm7z7c","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-rnfweprgz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-b6wvnzysy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-x3r8wel7o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-bmoz0bh7u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.918Z"
"1762957780680-g86yw2e7j","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-s73cdel6w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-ylufcj7yf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-qn5aik0l4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-z2skeeqgn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-jj0drsru7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-a6z7van4y","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-vx7s2g8ga","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-v7qdhfvzb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-e4375ppjw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-bczf0797q","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:29:40.919Z"
"1762957780680-otuhnxfwt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-ydt75r5d7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-zekm118bx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-7a0e8i30z","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-q29rsbcvk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-qv4die4jv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-4wycvypy3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-6s4izbs26","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-snxcrklzy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-fzfitygga","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-k65m313qo","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-vtiyo61to","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780680-v1c7s9s1v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-h6x75e53y","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7f9vzwg5h","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-bq2szimen","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-3ysdm43fv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-9lykibbac","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-hrbnjpif9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-1rk45c5ns","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-qfviy14ch","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-axh25e2rz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-rou7cl0la","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-kps35ccuh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-3zjevhll3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-i7so7h3bl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-woedv9qrx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-h4h0bt1np","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-qqon7xtjt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-z8xfodi6k","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7tqtq3faz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-hq0rcq1sk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-rra16mh4l","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-lt7yt04sd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-0cv2oawvp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-g5rjd6q9w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-85lz8ibee","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-bswfb4dt8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-klizwmebh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7i1n4hfqf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-gdyaikf63","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-haqsbtzmf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7wpf3cfc4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-gldunikwi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-imzi5oro0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-2zi0imkbz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7fyo7v620","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-7j05cm101","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-ee2nd335a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-26ktqdekp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-2krr3oo8u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-1sn3p9t33","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-uvrc1l48n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-z5frrh5so","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-b8d7k67gq","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-nb68uxn9w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-a3rogtbe6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-0ptab9esi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-sva4uxunu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-vpl4bl2ns","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-3onnr1b6n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
"1762957780681-h7jn3wdrz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:40.919Z"
