Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957781582-yamimu4ma","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.747Z"
"1762957781582-ng9r2eok7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-qrmcxpfhn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-feved3kui","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-98ibr3189","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-9wd0dx3ip","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-t19lnj2ke","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-5r50pgpwd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-hdsoo1avf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-m69y0vysz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-3iyeknz8w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-wyhntagis","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-hwx9tae5i","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-174y6fd82","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-p0t43brok","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-l1foeegy7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-v44tbqgd6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-0jsfsb1zu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-md46wv1u4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781582-v0b46uy9r","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-uvp0ij2m3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-eliwnfdoa","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:29:41.748Z"
"1762957781583-gbslco8mh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-i12pabxzg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-qzs1c3der","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-3pula4qoi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-pji0h08k2","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-wzwpgc95w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-i45cu7pru","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-tqhaw9u0m","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-efzkx8i7z","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
"1762957781583-odxubunmx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.748Z"
