Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957960057-sae5x58uz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-g3qy6gqlj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-3j61etpws","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-n2exei3pv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-xxwg5b5po","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-4p1szv1oj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-kwaybga0m","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-dizw0vglc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-zf0vr21zn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-g99lhd5lc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-ggzpla509","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-o9z81vdly","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-cnf9t1q9v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-l6jowxgbe","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-8a0ht1tvw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-okkiei5n3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-iggs34utt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-fscn1qgzd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-zdzr1e1qh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-q6z50hs4d","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-ln51uyy31","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960057-g88hgg9tu","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:32:40.259Z"
"1762957960057-j7pgrjf8v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960058-ibrdvw7io","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960058-sgx4azcm5","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
"1762957960058-lti2cscbk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:32:40.259Z"
