Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957911918-q4d1i4fzi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-09o8goip1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-b7bzygeqd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-2ytc07al3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-yf7obuz82","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-2zrdphaey","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-i0uzqg6se","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-kuwttvy06","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-4pm0kge4a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-ehhy95bq9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-gv5yy7fw8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-3ynbbldix","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-wzfvtfk01","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-sngtrtr01","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-ljjns4vyn","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-i988nl8br","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-zu0vufmi9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-2rc131f4l","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-53kfvstlb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-bazszvl0v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-hhr7c6aii","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-49well356","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:31:52.110Z"
"1762957911918-vxwdxwnon","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-ovzzkhabs","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-y5ciaq2uh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-hgx05jlu0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-mxze75ok1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-94duxn420","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-ypbbdhqg1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-asrrh242f","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-a17edrh8b","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-38ykl44wt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-7694dghhd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-jaj65ijdf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-jylsg6asw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-6putd0cdy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-nxbz1gnpt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911918-j4tb9q7gz","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-v9ip00zw4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-1rl90tez8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-jp3adff1b","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-hld5t19l4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-gtoogb1ku","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-1p3tbpw7z","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-mz8grg7ij","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-p4q5vyx75","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-vi6eukphx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-q1ojtj6fy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-0da0oig29","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-dsu87q3up","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-awqpbexme","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-fsmy9o2c6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-9ympbei3o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-ywc5ziac0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-3qva2it7q","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-rmweawxbr","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-0fvt6uiw6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-9f815lrni","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-srr1hvur3","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-1u1gu32w7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-ls2tkx46p","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-sea9z6eb7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-grpv3mkue","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-d2rj3uoow","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-7puwflbj0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-bzsqv7sxx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-30moa34kw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-ipzdxmj7v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-ickizl0fe","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-f7mqkm4zc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
"1762957911919-vfi06nj5v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:52.110Z"
