Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957890274-q05s23ned","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-28qa7q39s","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-6zdmcodz1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-oqa52alkk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-cejvaj4na","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-9a5uzwmn0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-j2b94j02a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-yat16zqu9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890274-3zpqycd49","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-5iz7lwzkw","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-hmhtwxo2l","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-9fxhwlv0f","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-4jy4gy4xr","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-ribziufax","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-lgkjzh01o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-r3i38osjx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-dewhvm7yb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-hitvvodgy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-6rbbvitho","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-bx4o38pwb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-eqwmg7czv","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-6h89j5zag","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:31:30.467Z"
"1762957890275-7y10ztjts","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-zhh23p7a1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-hn9zciiid","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-211yapf4a","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-sua8frr3t","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-ymkxekt1t","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-4s3xebgfc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-el50cjwfy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-hizkz9oq8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-tz9kcraem","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-87lw7pz1p","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-iesi3v0f9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-7x20dhr8o","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-amp6e2r2w","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-khte2b1to","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-pd7urgz5k","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-dic9yb3jf","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-iy4or4x04","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-zs277qgi6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-9cadt3heg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-nsnh7jc59","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-sf00z3xda","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-hkp8nu31k","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-88dsca1zk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-wol7sfxce","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-gqpxxyrrh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-xdmgjbx9v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-06y3vjsvk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-fx7llnxwo","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-tc5r57dpd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-2lqv66b5y","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-4fktmsy7z","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-fn0r2677u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-rjjxq0e7g","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-edz7auil4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-vl7qyc7bc","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-gqevr2z57","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-gn89op55u","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-7w39phift","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-63mgb4q3p","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-r45nn3zuj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-74qv29bb8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-55wvbao40","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-gbso7cj9e","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-710vq8xvx","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-j6ybch4ji","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-zitgjelky","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-nz61w2vr6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
"1762957890275-4hpkfmnys","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:31:30.467Z"
