Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762957781583-t79w7fp4c","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-4i3k68tuq","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-xoyotn8yy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-87qqvyx70","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-0ucbwxxj5","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-7htg0bmp0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-faxs702ys","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-zgg2chzvb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-po6i4q08v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-qt97qdkhg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-l5206hxwl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-wwvlx749n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-peu7sxigr","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.751Z"
"1762957781583-cwg23iwwq","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-uo3u58gz9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-c46syhwz8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-bs7m999lu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-o8m1us9b1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-rqmnyypfl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-bz9885s01","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-o0232at77","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-lqsnwx6bp","uncategorized","jarvis",0.25,"Matched keywords: assistant","2025-11-12T14:29:41.752Z"
"1762957781583-yzrf6pk8d","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-ifkiqgua4","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-qzqed31dt","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-hdn7s188m","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-mwtdqjjom","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-eab6bve5i","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-e8nkossxi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-l7kxgrn22","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-p7lz4p8sa","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-vka639vht","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-cjbvq9tm2","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-hpdgtkmwu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-5kv1epm8i","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-8kiiuerez","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-sbs70d9vk","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-p0rgq2j1l","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-z9n86f16j","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-g2fdy5fxb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-5lt14fm4s","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-13babvpz5","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-qk8phl6iu","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-02y520zmp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-jx1xdjv71","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-4uueig81x","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-yhetodqeg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-xerxdkhh9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-qfdizas8p","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-p3wc1648n","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-u69jlkzxb","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-o9rbr6m28","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-974mgs961","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-a7wqighqr","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-jcboqk4az","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-co2xse5xd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-2z7agf7uh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781583-hbf8psg3d","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-2ig5ien7h","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-13fxjfbjd","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-iqeo45q4v","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-softlprt0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-b3rdqp2s1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-9x88ivh26","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-lvu3dauau","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-ok0r31j2h","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-ryw772z0q","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-3tqcm7de1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-4wgo51vhr","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-1l60eh76x","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-eg170bth9","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-yxsigte50","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-7wctky2h1","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-jjkpw7gop","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-gygqowyvi","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-ylcsz7317","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-ioht7n4u7","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-vy0xxu925","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-y42jmesue","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
"1762957781584-q4hroeesy","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T14:29:41.752Z"
