Conversation ID,Original Project,Predicted Project,Confidence,Reason,Timestamp
"1762950292838-afcwpj1r8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-hrhp51bv8","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-n4j38uebq","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-2y1rrymez","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-brfwxngjj","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-pqo8qdgwl","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-4d6ajkc21","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-jhx0u81jo","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-rna0af9m0","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.038Z"
"1762950292838-o8iir7uh6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-4qchghp9e","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-yomf1kks6","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-zqy1eaimh","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-dr7tr77rp","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-34plgkp9e","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-6e74rak2e","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-dza44naad","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292838-p8d2z8b4l","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
"1762950292839-i8iq48uyg","uncategorized","uncategorized",0,"No matching keywords found","2025-11-12T12:24:53.039Z"
